Code,Continent
AFG,Asia
AHO,North America
ALB,Europe
ALG,Africa
AND,Europe
ANG,Africa
ANT,North America
ANZ,Oceania
ARG,South America
ARM,Asia
ARU,North America
ASA,Oceania
AUS,Oceania
AUT,Europe
AZE,Asia
BAH,North America
BAN,Asia
BAR,North America
BDI,Africa
BEL,Europe
BEN,Africa
BER,North America
BHU,Asia
BIH,Europe
BIZ,North America
BLR,Europe
BOH,Europe
BOL,South America
BOT,Africa
BRA,South America
BRN,Asia
BRU,Asia
BUL,Europe
BUR,Africa
CAF,Africa
CAM,Asia
CAN,North America
CAY,North America
CGO,Africa
CHA,Africa
CHI,South America
CHN,Asia
CIV,Africa
CMR,Africa
COD,Africa
COK,Oceania
COL,South America
COM,Africa
CPV,Africa
CRC,North America
CRO,Europe
CRT,Europe
CUB,North America
CYP,Asia
CZE,Europe
DEN,Europe
DJI,Africa
DMA,North America
DOM,North America
ECU,South America
EGY,Africa
ERI,Africa
ESA,North America
ESP,Europe
EST,Europe
ETH,Africa
EUN,Europe
FIJ,Oceania
FIN,Europe
FRA,Europe
FRG,Europe
FSM,Oceania
GAB,Africa
GAM,Africa
GBR,Europe
GBS,Africa
GDR,Europe
GEO,Asia
GEQ,Africa
GER,Europe
GHA,Africa
GRE,Europe
GRN,North America
GUA,North America
GUI,Africa
GUM,Oceania
GUY,South America
HAI,North America
HKG,Asia
HON,North America
HUN,Europe
INA,Asia
IND,Asia
IOA,Unknown
IRI,Asia
IRL,Europe
IRQ,Asia
ISL,Europe
ISR,Asia
ISV,North America
ITA,Europe
IVB,North America
JAM,North America
JOR,Asia
JPN,Asia
KAZ,Asia
KEN,Africa
KGZ,Asia
KIR,Oceania
KOR,Asia
KOS,Europe
KSA,Asia
KUW,Asia
LAO,Asia
LAT,Europe
LBA,Africa
LBR,Africa
LCA,North America
LES,Africa
LIB,Asia
LIE,Europe
LTU,Europe
LUX,Europe
MAD,Africa
MAL,Asia
MAR,Africa
MAS,Asia
MAW,Africa
MDA,Europe
MDV,Asia
MEX,North America
MGL,Asia
MHL,Oceania
MKD,Europe
MLI,Africa
MLT,Europe
MNE,Europe
MON,Europe
MOZ,Africa
MRI,Africa
MTN,Africa
MYA,Asia
NAM,Africa
NBO,Asia
NCA,North America
NED,Europe
NEP,Asia
NFL,North America
NGR,Africa
NIG,Africa
NOR,Europe
NRU,Oceania
NZL,Oceania
OMA,Asia
PAK,Asia
PAN,North America
PAR,South America
PER,South America
PHI,Asia
PLE,Asia
PLW,Oceania
PNG,Oceania
POL,Europe
POR,Europe
PRK,Asia
PUR,North America
QAT,Asia
RHO,Africa
ROT,Unknown
ROU,Europe
RSA,Africa
RUS,Europe
RWA,Africa
SAA,Europe
SAM,Oceania
SCG,Europe
SEN,Africa
SEY,Africa
SIN,Asia
SKN,North America
SLE,Africa
SLO,Europe
SMR,Europe
SOL,Oceania
SOM,Africa
SRB,Europe
SRI,Asia
SSD,Africa
STP,Africa
SUD,Africa
SUI,Europe
SUR,South America
SVK,Europe
SWE,Europe
SWZ,Africa
SYR,Asia
TAN,Africa
TCH,Europe
TGA,Oceania
THA,Asia
TJK,Asia
TKM,Asia
TLS,Asia
TOG,Africa
TPE,Asia
TTO,North America
TUN,Africa
TUR,Asia
TUV,Oceania
UAE,Asia
UAR,Asia
UGA,Africa
UKR,Europe
UNK,Unknown
URS,Europe
URU,South America
USA,North America
UZB,Asia
VAN,Oceania
VEN,South America
VIE,Asia
VIN,North America
VNM,Asia
WIF,North America
YAR,Asia
YEM,Asia
YMD,Asia
YUG,Europe
ZAM,Africa
ZIM,Africa